FID,GEOID,NAME,Co,St,Pop18,CoSt,UnwelPct,pct65pls,Staffed,Beds,ICUBeds,F_Count,F_Staffed,F_Beds,F_ICUBeds,F_BedsPC,F_ICUPC,F_StaffPC,BedsPC,ICUPC,StaffPC,FoodInsc,SHAPE_Length,SHAPE_Area
1,01059,Franklin,Franklin,AL,31844,Franklin County,22.409362481,16.472455945,74,125,7,2,74,125,7,254.751999796198,4549.1427921551,430.324323742805,254.751999796198,4549.1427921551,430.324323742805,13,1.77992149227594,0.164486558902504
2,13111,Fannin,Fannin,GA,26644,Fannin County,15.885974479,28.729958139,50,50,5,1,50,50,5,532.87999893424,5328.799893424,532.87999893424,532.87999893424,5328.799893424,532.87999893424,11.4,1.76764076014351,0.0999049644049421
3,19109,Kossuth,Kossuth,IA,15201,Kossuth County,11.880258499,23.354890326,24,25,0,1,24,25,0,608.03999756784,0,633.374997360938,608.03999756784,0,633.374997360938,9.8,2.12815933909563,0.27975899636799
4,40115,Ottawa,Ottawa,OK,31795,Ottawa County,22.957388539,18.117654573,94,117,9,1,94,117,9,271.75213651987,3532.77773852469,338.244680491229,271.75213651987,3532.77773852469,338.244680491229,17.2,1.47780779088451,0.126538207627319
5,42115,Susquehanna,Susquehanna,PA,42315,Susquehanna County,15.1529494,22.923020617,50,50,4,2,50,50,4,846.2999983074,10578.7497355313,846.2999983074,846.2999983074,10578.7497355313,846.2999983074,11.4,2.0294143649233,0.233870226516871
6,40053,Grant,Grant,OK,4628,Grant County,14.265090972,21.638225256,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,2.10302730933716,0.261322888083637
7,31029,Chase,Chase,NE,3956,Chase County,14.163488662,20.221606648,22,20,0,1,22,20,0,197.799999011,0,179.818181000826,197.799999011,0,179.818181000826,8.4,2.1107903788316,0.246203577754217
8,29213,Taney,Taney,MO,55196,Taney County,20.124814928,21.2410803,105,157,18,1,105,157,18,351.566878756964,3066.44442740864,525.676189975547,351.566878756964,3066.44442740864,525.676189975547,16.3,1.70968525305342,0.17010098850955
9,32510,Carson City,Carson City,NV,55169,Carson City,18.848514398,20.140652114,219,234,24,2,190,205,24,269.117073039455,2298.70832375538,290.363157741914,235.764957164203,2298.70832375538,251.913241894104,13.1,1.17608459204248,0.0425259145410448
10,12049,Hardee,Hardee,FL,29055,Hardee County,28.854129632,16.092079822,25,25,0,1,25,25,0,1162.1999953512,0,1162.1999953512,1162.1999953512,0,1162.1999953512,12.9,1.59718693543531,0.150670023483499
11,05023,Cleburne,Cleburne,AR,25681,Cleburne County,18.014103427,26.461194507,25,25,0,1,25,25,0,1027.23999589104,0,1027.23999589104,1027.23999589104,0,1027.23999589104,15.1,1.60094856717851,0.152730045908998
12,48017,Bailey,Bailey,TX,7301,Bailey County,27.307110656,14.130281193,25,25,0,1,25,25,0,292.03999883184,0,292.03999883184,292.03999883184,0,292.03999883184,9.5,1.83661643303629,0.209321174177966
13,49037,San Juan,San Juan,UT,15169,San Juan County,20.910165785,13.649387861,32,36,1,2,32,36,1,421.361109940664,15168.9984831002,474.031248518652,421.361109940664,15168.9984831002,474.031248518652,19.9,8.29089034900946,2.09700597047987
14,31143,Polk,Polk,NE,5255,Polk County,13.1345788,21.602852853,16,16,0,1,16,16,0,328.437497947266,0,328.437497947266,328.437497947266,0,328.437497947266,9.9,1.47044905109212,0.122310098399498
15,42075,Lebanon,Lebanon,PA,141970,Lebanon County,13.195187545,19.110723128,290,315,18,2,290,315,18,450.698412555334,7887.22217840432,489.55172396912,450.698412555334,7887.22217840432,489.55172396912,9.3,1.35363014859944,0.0996115046509926
16,35028,Los Alamos,Los Alamos,NM,18065,Los Alamos County,9.79986488,17.355107269,47,47,6,1,47,47,6,384.361701309869,3010.83328315278,384.361701309869,384.361701309869,3010.83328315278,384.361701309869,14,0.887099820267612,0.028147809055998
17,40137,Stephens,Stephens,OK,44040,Stephens County,19.379339159,19.468291332,86,138,9,1,86,138,9,319.130434551355,4893.33327896296,512.093022660357,319.130434551355,4893.33327896296,512.093022660357,17.2,1.94137499701408,0.226482171964981
18,40081,Lincoln,Lincoln,OK,36059,Lincoln County,18.09690467,17.890273747,50,50,0,2,50,50,0,721.17999855764,0,721.17999855764,721.17999855764,0,721.17999855764,14.8,1.99299162639322,0.248522699740989
19,19031,Cedar,Cedar,IA,18712,Cedar County,10.996814214,19.133904978,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,1.63205916146804,0.16316245088051
20,19069,Franklin,Franklin,IA,10875,Franklin County,15.229569221,20.769382133,25,25,0,1,25,25,0,434.99999826,0,434.99999826,434.99999826,0,434.99999826,10.4,1.64751680202761,0.165910707107492
21,20151,Pratt,Pratt,KS,9495,Pratt County,13.630044168,19.51398345,35,35,6,1,35,35,6,271.285713510612,1582.499973625,271.285713510612,271.285713510612,1582.499973625,271.285713510612,13,1.80352365689611,0.194235906292509
22,28099,Neshoba,Neshoba,MS,29483,Neshoba County,24.842989147,15.502740985,58,68,0,2,58,68,0,433.573528774157,0,508.32758533047,433.573528774157,0,508.32758533047,17.2,1.53243747594708,0.142532462153996
23,29167,Polk,Polk,MO,31958,Polk County,19.212073217,18.05057558,52,86,8,1,52,86,8,371.604650730692,3994.74995006563,614.576921895044,371.604650730692,3994.74995006563,614.576921895044,14.7,1.72339692167736,0.170100215200503
24,27101,Murray,Murray,MN,8566,Murray County,12.55708721,24.958063743,20,25,0,1,20,25,0,342.63999862944,0,428.2999978585,342.63999862944,0,428.2999978585,8.5,1.89884471829626,0.2090489009055
25,29121,Macon,Macon,MO,15121,Macon County,18.739380696,22.247721461,25,25,0,1,25,25,0,604.83999758064,0,604.83999758064,604.83999758064,0,604.83999758064,14.8,1.97730805811451,0.221029668498022
26,55039,Fond du Lac,Fond du Lac,WI,103861,Fond du Lac County,13.779130614,18.035456567,133,164,15,2,133,164,15,633.298780101647,6924.06662050622,780.90977384894,633.298780101647,6924.06662050622,780.90977384894,8.7,2.23864059041559,0.221541286908996
27,47169,Trousdale,Trousdale,TN,8458,Trousdale County,18.439894805,13.765744322,25,25,0,1,25,25,0,338.31999864672,0,338.31999864672,338.31999864672,0,338.31999864672,12.7,0.950179088868473,0.0306133137020004
28,51683,Manassas,Manassas,VA,41469,Manassas city,17.12483924,9.623864485,94,94,11,1,94,94,11,441.159573998766,3769.90905663719,441.159573998766,441.159573998766,3769.90905663719,441.159573998766,4.6,0.275467419759722,0.00289536946349855
29,48329,Midland,Midland,TX,170107,Midland County,17.935033441,10.389035983,308,554,0,1,228,474,0,358.875527350448,0,746.083333006104,307.052346514972,0,552.295454366138,10.7,1.89382745355447,0.222686442087503
